amostra_id;skill;split;classe;arquivo;texto_sha256;tipo;sinal;indice_detector;trecho;rotulo;justificativa
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;gnomico;1;"""'As pessoas dizem que eu esqueci.";legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;gnomico;2;porque não confia que estará vivo para reportar a alguém;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;gnomico;3;porque era mentira;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;gnomico;4;"porque estava em japonês, e o cara traduziu."" Um clique";legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;atestacao;gnomico;;;validado;SUBSTITUIR POR ATESTAÇÃO HUMANA DE REVISÃO INTEGRAL DESTE SINAL
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;personificacao;1;Helena fica com o dedo suspenso sobre o segundo nome.;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;atestacao;personificacao;;;validado;SUBSTITUIR POR ATESTAÇÃO HUMANA DE REVISÃO INTEGRAL DESTE SINAL
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;sanfona;1;Há um verão em Lisboa que ela não consegue datar, e ele pressiona a tampa por baixo, pela terceira vez em dois;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;sanfona;2;O homem que juntou o que quatro pessoas espalhadas por dois continentes, que nunca se falaram, não tinham como;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;sanfona;3;Olha a estrada vazia à frente, e não precisa de mais razão — cada minuto que ela fica aqui é um minuto que Sam;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;atestacao;sanfona;;;validado;SUBSTITUIR POR ATESTAÇÃO HUMANA DE REVISÃO INTEGRAL DESTE SINAL
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;metafora_elaborada;1;Igual a minha vai. O pesquisador escreveu 'ela desenhou sem hesitar, como quem a;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;metafora_elaborada;2;"como quem assina o nome'."" Uma pausa longa. O contador marca dois minutos e dez";legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;atestacao;metafora_elaborada;;;validado;SUBSTITUIR POR ATESTAÇÃO HUMANA DE REVISÃO INTEGRAL DESTE SINAL
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;cadencia.fragmentos colados (≤4 palavras);1;Ela aperta o primeiro. PREPARACAO.;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
dan-brown-aprovado-01;dan-brown;calibracao;aprovada;samples/dan-brown/aprovado-01.md;94b727a5d7bb4166de20ba3bd85ca79e43d241d183b96074c97747c6cb9fa92f;detectada;cadencia.fragmentos colados (≤4 palavras);2;Uma pausa. O roçar de papel.;legitima;SUBSTITUIR POR JUSTIFICATIVA HUMANA ESPECÍFICA
